Id,SkuId,FieldId,FieldValueId,Text
0,932,560,217,
0,1159,560,217,
0,2690,560,217,
0,1684,560,218,
0,1758,560,218,
0,833,560,218,
0,1778,560,219,
0,2514,560,219,
0,575,560,220,
0,3039,560,220,
0,2767,560,220,
0,584,560,220,
0,1738,560,221,
0,1064,560,221,
0,2246,560,221,
0,1361,560,221,
0,2006,560,222,
0,967,560,222,
0,889,560,222,
0,234,560,222,
0,1454,560,223,
0,142,560,223,
0,1069,560,223,
0,1998,560,223,
0,1253,560,202,
0,1192,560,202,
0,1714,560,202,
0,2130,560,202,
0,976,560,203,
0,1755,560,203,
0,481,560,203,
0,2691,560,203,
0,1791,558,180,
0,2623,558,180,
0,529,558,180,
0,2189,558,180,
0,464,558,180,
0,3206,558,224,
0,1853,558,224,
0,993,558,224,
0,2977,558,224,
0,1091,558,159,
0,2903,558,159,
0,2539,558,159,
0,934,558,159,
0,2741,558,159,
0,2874,558,182,
0,3002,558,182,
0,2967,558,182,
0,68,558,182,
0,2878,558,182,
0,859,558,166,
0,651,558,166,
0,812,558,166,
0,2107,558,166,
0,2849,558,166,
0,2999,558,184,
0,2825,558,184,
0,254,558,179,
0,1317,558,179,
0,1678,558,179,
0,1660,558,179,
0,797,558,179,
0,1009,558,169,
0,1106,558,169,
0,483,558,169,
0,1701,558,169,
0,747,558,169,
0,2667,558,170,
0,1499,558,170,
0,2127,558,170,
0,2055,558,170,
0,2599,558,170,
0,723,558,171,
0,2293,558,171,
0,3036,558,171,
0,1150,558,171,
0,2240,561,226,
0,2769,558,228,
0,1771,558,228,
0,2128,558,228,
0,459,558,159,
0,99,558,159,
0,1156,558,159,
0,2597,558,159,
0,1339,558,229,
0,168,558,229,
0,348,558,229,
0,1082,558,229,
0,2479,558,230,
0,1594,558,230,
0,2596,558,230,
0,1449,558,230,
0,1697,558,230,
0,1400,558,231,
0,2214,558,231,
0,2180,558,231,
0,1602,558,231,
0,856,558,232,
0,1010,558,232,
0,2340,558,233,
0,732,558,233,
0,2026,558,233,
0,2713,558,235,
0,828,558,168,
0,268,558,168,
0,1810,558,168,
0,1730,558,168,
0,1501,558,168,
0,22,558,236,
0,570,558,236,
0,2442,558,236,
0,2014,558,237,
0,1889,558,237,
0,60,558,237,
0,1963,558,237,
0,2072,558,170,
0,1939,558,170,
0,2763,558,170,
0,1780,558,170,
0,2058,558,238,
0,1443,558,238,
0,1957,558,238,
0,2424,558,171,
0,1676,558,171,
0,197,558,171,
0,547,558,171,
0,791,558,171,
0,1664,560,239,
0,555,560,239,
0,1007,560,239,
0,2887,560,239,
0,2524,560,240,
0,1369,560,240,
0,1395,560,240,
0,2132,560,240,
0,562,560,241,
0,767,560,241,
0,2880,560,241,
0,1650,560,241,
0,1828,560,202,
0,1643,560,202,
0,1747,560,202,
0,1153,560,202,
0,881,561,242,
0,3134,561,243,
0,2872,558,244,
0,2090,558,244,
0,2830,558,244,
0,2756,558,245,
0,2904,558,246,
0,1450,558,246,
0,741,558,246,
0,261,558,246,
0,527,558,170,
0,2897,558,170,
0,792,561,247,
0,2526,559,248,
0,1911,559,248,
0,926,559,248,
0,1494,559,248,
0,3003,559,248,
0,595,559,248,
0,850,559,248,
0,1172,559,248,
0,2936,559,248,
0,1426,559,248,
0,947,559,248,
0,2328,559,248,
0,2884,559,249,
0,86,559,249,
0,1944,559,249,
0,2985,559,249,
0,2892,559,249,
0,2730,559,249,
0,2397,559,249,
0,3110,559,249,
0,847,559,249,
0,513,559,249,
0,2688,559,249,
0,1377,559,249,
0,1983,559,249,
0,165,559,250,
0,722,559,250,
0,2888,559,250,
0,649,559,250,
0,779,559,250,
0,2969,559,250,
0,362,559,250,
0,3155,559,250,
0,251,559,250,
0,2151,559,250,
0,2751,559,251,
0,1696,559,251,
0,2843,559,251,
0,1996,559,251,
0,135,559,251,
0,2256,559,251,
0,2721,559,251,
0,1240,559,251,
0,95,559,251,
0,702,559,251,
0,2799,559,251,
0,65,559,251,
0,2786,559,251,
0,836,559,251,
0,2547,559,251,
0,2568,559,252,
0,1576,559,252,
0,156,559,252,
0,1323,559,252,
0,2594,559,252,
0,214,559,252,
0,2163,559,252,
0,2209,559,252,
0,430,559,252,
0,1955,559,252,
0,2775,559,252,
0,2079,559,253,
0,1306,559,253,
0,2259,559,253,
0,2890,559,253,
0,2590,559,253,
0,2929,559,253,
0,1625,559,253,
0,50,559,253,
0,1915,559,253,
0,3038,559,253,
0,761,559,253,
0,3197,559,253,
0,805,559,253,
0,472,559,253,
0,3042,559,253,
0,2934,559,253,
0,2948,559,253,
0,1023,558,254,
0,2398,558,255,
0,736,558,246,
0,376,558,246,
0,2528,558,246,
0,2657,558,246,
0,1166,558,170,
0,3147,558,170,
0,3188,561,256,
0,814,561,256,
0,3190,561,257,
0,744,561,257,
0,2770,561,257,
0,2787,561,258,
0,2898,561,258,
0,1886,561,256,
0,813,560,259,
0,122,560,217,
0,1748,560,217,
0,1705,560,217,
0,2362,560,260,
0,1177,560,261,
0,1517,560,262,
0,2314,560,262,
0,790,560,262,
0,2629,560,263,
0,1003,560,264,
0,1977,560,264,
0,945,560,264,
0,1256,560,264,
0,2576,560,203,
0,2248,560,203,
0,1765,560,203,
0,2859,561,256,
0,1932,560,265,
0,520,560,265,
0,1505,560,265,
0,1210,560,265,
0,2279,560,265,
0,2289,560,265,
0,1636,560,214,
0,390,560,214,
0,1135,560,214,
0,23,560,214,
0,1667,560,266,
0,1355,560,266,
0,250,560,266,
0,1630,560,266,
0,1518,560,266,
0,1196,560,267,
0,579,560,268,
0,750,560,269,
0,1236,560,269,
0,280,560,269,
0,143,560,269,
0,2567,560,269,
0,563,560,269,
0,1112,560,269,
0,999,560,270,
0,112,560,270,
0,2468,560,270,
0,1515,560,271,
0,1763,560,271,
0,2338,560,271,
0,1193,560,272,
0,1204,560,272,
0,685,560,272,
0,1413,560,272,
0,53,560,272,
0,28,560,273,
0,2029,560,274,
0,310,560,274,
0,317,560,274,
0,1914,560,274,
0,2393,560,274,
0,35,560,274,
0,2059,560,202,
0,2203,560,203,
0,1100,560,203,
0,1349,560,203,
0,347,560,203,
0,2663,560,203,
0,1311,560,203,
0,313,560,203,
0,3008,560,220,
0,2554,560,220,
0,1180,560,220,
0,2848,560,223,
0,1285,560,223,
0,2591,560,223,
0,171,560,223,
0,1031,560,203,
0,1888,560,203,
0,2346,560,203,
0,2585,560,203,
0,810,559,275,
0,2850,559,275,
0,3171,559,275,
0,1199,559,275,
0,266,559,275,
0,970,559,275,
0,972,559,275,
0,2368,559,275,
0,2134,559,275,
0,1869,559,275,
