PartNumber,Usage,Name,Value,Sequence,Delete,GroupName
P000211585,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000211874,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000212437,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000212492,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000212690,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000212884,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000212895,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000212912,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000212994,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000213062,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000213098,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000213100,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000213102,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000213343,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000213388,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000213389,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000213391,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000213447,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000213499,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000213687,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000213692,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000213706,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000213849,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000213853,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000213889,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000214022,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000214171,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000214471,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000214496,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000214540,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000214773,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000214807,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000214876,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000214877,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000214878,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000214879,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000214880,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000214881,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000214882,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215074,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000215077,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000215080,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000215126,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000215172,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000215177,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000215197,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000215398,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215505,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215507,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215555,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215608,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000215673,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000215774,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215876,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215919,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215923,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215927,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215932,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215934,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215941,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215945,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000215949,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
