CatentryPartNumber,Price,CurrencyCode,StartDate,EndDate,Precedence,MinimumQuantity
0095701109,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095701190,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095701219,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095701303,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095701709,17.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095701712,17.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095701806,17.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095701916,17.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095702026,17.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095702038,17.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095702053,17.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095702065,17.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095702078,17.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095754942,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095754979,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095759170,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095761634,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095762633,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095762646,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095765151,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095765163,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095765246,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095765258,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095765260,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095765297,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095765343,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095767868,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095767871,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095767901,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095768036,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095809065,26.5,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095809078,26.5,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095841894,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095841940,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095841977,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
