GroupIdentifier,ParentGroupIdentifier,TopGroup,Sequence,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Field1,Published,Delete
52-123-124,52-123-0,false,5,"Underwire Bras","Underwire Bras",,,,,1,0
52-123-125,52-123-0,false,15,"Bikinis & Hipsters","Womens Bikinis",,,,,1,0
52-123-126,52-123-0,false,30,"Shapewear & Girdles","Shapewear & Girdles",,,,,1,0
52-123-127,52-123-0,false,35,"Slips & Camisoles","Slips & Camisoles",,,,,1,0
52-123-313,52-123-0,false,17,".",".",,,,,1,0
52-123-318,52-123-0,false,40,"Hi Cut Panties","Womens Hi Cut Panties",,,,,1,0
52-132-0,52-0-0,false,35,"Sleepwear","Sleepwear",,,,,1,0
52-132-133,52-132-0,false,0,"Gowns & Chemises","Womens Gowns & Chemises",,,,,1,0
52-132-134,52-132-0,false,0,"Sets","Womens Pajama Sets",,,,,1,0
52-132-136,52-132-0,false,0,"Robes","Womens Robes",,,,,1,0
52-132-137,52-132-0,false,0,"Pajama Bottoms","Womens Pajama Bottoms",,,,,1,0
52-132-307,52-132-0,false,0,"Pajama Tops","Womens Pajama Tops",,,,,1,0
52-138-0,52-0-0,false,45,"Dresses","Dresses",,,,,1,0
52-138-139,52-138-0,false,0,"Little Black Dresses","Little Black Dresses",,,,,1,0
52-138-290,52-138-0,false,0,"Maxi Dresses","Maxi Dresses",,,,,1,0
52-142-0,52-0-0,false,30,"Jewelry & Watches","Jewelry & Watches",,,,,1,0
52-142-143,52-142-0,false,0,"Stud Earrings","Stud Earrings",,,,,1,0
52-142-144,52-142-0,false,0,"Bangle Bracelets","Bangle Bracelets",,,,,1,0
52-142-145,52-142-0,false,0,"Necklaces & Pendants","Necklaces & Pendants",,,,,1,0
52-142-146,52-142-0,false,0,"Pins & Brooches","Pins & Brooches",,,,,1,0
52-142-147,52-142-0,false,0,"Hoop Earrings","Hoop Earrings",,,,,1,0
52-142-148,52-142-0,false,0,"Watch & Bracelet Sets","Watch & Bracelet Sets",,,,,1,0
52-142-276,52-142-0,false,0,"Rings","Rings",,,,,1,0
52-142-277,52-142-0,false,0,"Anklets","Anklets",,,,,1,0
52-149-0,52-0-0,false,40,"Accessories","Womens Accessories",,,,,1,0
52-149-151,52-149-0,false,0,"Scarves & Wraps","Scarves & Wraps",,,,,1,0
52-149-152,52-149-0,false,0,"Womens Belts","Womens Belts",,,,,1,0
52-149-154,52-149-0,false,0,"Womens Hats","Womens Hats",,,,,1,0
52-149-155,52-149-0,false,0,"Totes & Satchels","Totes & Satchels",,,,,1,0
52-149-156,52-149-0,false,0,"Electronic Cases","Electronic Cases",,,,,1,0
52-149-157,52-149-0,false,0,"Womens Wallets","Womens Wallets & Accessories",,,,,1,0
52-149-275,52-149-0,false,0,"Womens Sunglasses","Womens Sunglasses",,,,,1,0
158-0-0,,true,25,"Childrens","Childrens",,,,,1,0
158-159-0,158-0-0,false,15,"Girls 7-16","Girls 7-16",,,,,1,0
158-159-160,158-159-0,false,0,"Jeans & Pants","Jeans & Pants",,,,,1,0
158-159-161,158-159-0,false,0,"Skirts & Scooters","Skirts & Scooters",,,,,1,0
158-159-162,158-159-0,false,0,"Screen Tees & Tanks","Girls 7-16 Screen Tees & Tanks",,,,,1,0
158-159-163,158-159-0,false,0,"Dresses & Sets","Dresses & Sets",,,,,1,0
158-159-164,158-159-0,false,0,"Outerwear & Fleece","Girls 7-16 Outerwear & Fleece",,,,,1,0
158-159-165,158-159-0,false,0,"Sweaters","Sweaters",,,,,1,0
158-159-167,158-159-0,false,0,"Girls 4-16 Sleepwear","Girls 4-16 Sleepwear",,,,,1,0
158-159-168,158-159-0,false,0,"Bras","Bras",,,,,1,0
158-169-0,158-0-0,false,20,"Boys 8-20","Boys 8-20",,,,,1,0
158-169-170,158-169-0,false,0,"Jeans & Pants","Boys 8-20 Jeans & Pants",,,,,1,0
158-169-171,158-169-0,false,0,"Shorts","Boys 8-20 Shorts",,,,,1,0
158-169-173,158-169-0,false,0,"Sweaters & Outerwear","Boys 8-20 Sweaters & Outerwear",,,,,1,0
158-169-176,158-169-0,false,0,"Boys 8-20 Sleepwear","Boys 8-20 Sleepwear",,,,,1,0
158-169-177,158-169-0,false,0,"Underwear & Socks","Underwear & Socks",,,,,1,0
158-169-323,158-169-0,false,0,"Button-up Shirts","Button-up Shirts",,,,,1,0
158-169-324,158-169-0,false,0,"Polos","Boys 8-20 Polos",,,,,1,0
158-188-0,158-0-0,false,5,"Baby Boy 0-24 Months","Baby Boy 0-24 Months",,,,,1,0
158-188-189,158-188-0,false,0,"Sets","Baby Boy Sets",,,,,1,0
158-188-190,158-188-0,false,0,"Bottoms","Baby Boy Bottoms",,,,,1,0
158-188-193,158-188-0,false,0,"Sweaters & Fleece","Baby Boy Sweaters & Fleece",,,,,1,0
158-201-0,158-0-0,false,25,"Toys & Gifts","Toys & Gifts",,,,,1,0
158-201-202,158-201-0,false,0,"Toy Vehicles & Sets","Toy Vehicles & Sets",,,,,1,0
158-201-203,158-201-0,false,0,"Games & Puzzles","Childrens Games & Puzzles",,,,,1,0
158-201-204,158-201-0,false,0,"Toddler & Kids Room","Toddler & Kids Room",,,,,1,0
158-201-205,158-201-0,false,0,"Learning & Exploration","Learning & Exploration",,,,,1,0
