skuId,markup,listPrice,basePrice,costPrice
1984,,21.99,21.99,21.99
1470,,21.99,21.99,21.99
1509,,21.99,21.99,21.99
873,,21.99,21.99,21.99
2034,,24.99,24.99,24.99
538,,24.99,24.99,24.99
1485,,24.99,24.99,24.99
1232,,24.99,24.99,24.99
823,,24.99,24.99,24.99
2133,,24.99,24.99,24.99
1639,,24.99,24.99,24.99
1380,,24.99,24.99,24.99
2020,,24.99,24.99,24.99
1768,,24.99,24.99,24.99
1171,,26.99,26.99,26.99
1445,,26.99,26.99,26.99
782,,26.99,26.99,26.99
539,,26.99,26.99,26.99
1436,,26.99,26.99,26.99
2480,,26.99,26.99,26.99
291,,26.99,26.99,26.99
2301,,26.99,26.99,26.99
2299,,26.99,26.99,26.99
1316,,26.99,26.99,26.99
1459,,26.99,26.99,26.99
753,,26.99,26.99,26.99
427,,27.6,27.6,27.6
2432,,27.6,27.6,27.6
1041,,27.6,27.6,27.6
1702,,34.8,34.8,34.8
1752,,34.8,34.8,34.8
1679,,34.8,34.8,34.8
635,,34.8,34.8,34.8
2527,,34.8,34.8,34.8
373,,34.8,34.8,34.8
1487,,34.8,34.8,34.8
2451,,34.8,34.8,34.8
1430,,34.8,34.8,34.8
2723,,34.8,34.8,34.8
1267,,34.8,34.8,34.8
1496,,34.8,34.8,34.8
2332,,34.8,34.8,34.8
2506,,34.8,34.8,34.8
2141,,34.8,34.8,34.8
11,,34.8,34.8,34.8
1001,,34.8,34.8,34.8
875,,34.8,34.8,34.8
858,,34.8,34.8,34.8
2489,,34.8,34.8,34.8
412,,34.8,34.8,34.8
1537,,34.8,34.8,34.8
2483,,34.8,34.8,34.8
1089,,33.0,33.0,33.0
2091,,33.0,33.0,33.0
1410,,33.0,33.0,33.0
190,,33.0,33.0,33.0
1297,,33.0,33.0,33.0
678,,33.0,33.0,33.0
331,,33.0,33.0,33.0
201,,33.0,33.0,33.0
2437,,33.0,33.0,33.0
1708,,33.0,33.0,33.0
960,,33.0,33.0,33.0
641,,33.0,33.0,33.0
1242,,33.0,33.0,33.0
1745,,33.0,33.0,33.0
1019,,33.0,33.0,33.0
1934,,33.0,33.0,33.0
1002,,33.0,33.0,33.0
2302,,33.0,33.0,33.0
1348,,33.0,33.0,33.0
253,,33.0,33.0,33.0
2251,,33.0,33.0,33.0
1088,,33.0,33.0,33.0
1993,,33.0,33.0,33.0
82,,33.0,33.0,33.0
450,,33.0,33.0,33.0
633,,33.0,33.0,33.0
3,,33.0,33.0,33.0
79,,33.0,33.0,33.0
6,,33.0,33.0,33.0
2098,,33.0,33.0,33.0
423,,33.0,33.0,33.0
1807,,33.0,33.0,33.0
1921,,33.0,33.0,33.0
704,,33.0,33.0,33.0
2685,,33.0,33.0,33.0
705,,33.0,33.0,33.0
148,,33.0,33.0,33.0
1497,,33.0,33.0,33.0
2695,,33.0,33.0,33.0
290,,33.0,33.0,33.0
229,,33.0,33.0,33.0
1435,,33.0,33.0,33.0
1027,,33.0,33.0,33.0
1251,,33.0,33.0,33.0
2183,,33.0,33.0,33.0
1176,,28.0,28.0,28.0
2643,,28.0,28.0,28.0
1887,,28.0,28.0,28.0
2810,,26.99,26.99,26.99
1905,,28.0,28.0,28.0
948,,28.0,28.0,28.0
1590,,28.0,28.0,28.0
1189,,28.0,28.0,28.0
2815,,28.0,28.0,28.0
2261,,28.0,28.0,28.0
2873,,28.0,28.0,28.0
2684,,28.0,28.0,28.0
211,,30.8,30.8,30.8
1260,,30.8,30.8,30.8
1538,,30.8,30.8,30.8
2269,,30.8,30.8,30.8
843,,30.8,30.8,30.8
781,,30.8,30.8,30.8
2733,,30.8,30.8,30.8
339,,30.8,30.8,30.8
1994,,24.0,24.0,24.0
1592,,24.0,24.0,24.0
507,,24.0,24.0,24.0
1066,,24.0,24.0,24.0
269,,24.0,24.0,24.0
2851,,24.0,24.0,24.0
304,,24.0,24.0,24.0
1483,,24.0,24.0,24.0
2207,,24.0,24.0,24.0
2839,,24.0,24.0,24.0
1409,,24.0,24.0,24.0
2126,,35.0,35.0,35.0
1972,,35.0,35.0,35.0
2533,,35.0,35.0,35.0
2961,,43.75,43.75,43.75
470,,43.75,43.75,43.75
285,,43.75,43.75,43.75
508,,24.0,24.0,24.0
2718,,24.0,24.0,24.0
1823,,24.0,24.0,24.0
1749,,24.0,24.0,24.0
1879,,24.0,24.0,24.0
1309,,24.0,24.0,24.0
1472,,28.0,28.0,28.0
2953,,28.0,28.0,28.0
784,,28.0,28.0,28.0
998,,28.0,28.0,28.0
2494,,28.0,28.0,28.0
1143,,28.0,28.0,28.0
599,,28.0,28.0,28.0
1495,,21.6,21.6,21.6
1966,,21.6,21.6,21.6
2939,,21.6,21.6,21.6
2900,,21.6,21.6,21.6
2356,,21.6,21.6,21.6
2383,,21.6,21.6,21.6
1008,,21.6,21.6,21.6
2511,,21.6,21.6,21.6
19,,21.6,21.6,21.6
522,,21.6,21.6,21.6
106,,21.6,21.6,21.6
2354,,21.6,21.6,21.6
447,,21.6,21.6,21.6
1789,,21.6,21.6,21.6
147,,21.6,21.6,21.6
2414,,21.6,21.6,21.6
2304,,21.6,21.6,21.6
1036,,21.6,21.6,21.6
2035,,21.6,21.6,21.6
822,,21.6,21.6,21.6
700,,26.4,26.4,26.4
2946,,26.4,26.4,26.4
3001,,26.4,26.4,26.4
1767,,26.4,26.4,26.4
2821,,26.4,26.4,26.4
2408,,26.4,26.4,26.4
488,,24.99,24.99,24.99
2949,,24.99,24.99,24.99
2351,,24.99,24.99,24.99
3192,,24.99,24.99,24.99
1649,,24.99,24.99,24.99
354,,24.99,24.99,24.99
3043,,24.99,24.99,24.99
3169,,24.99,24.99,24.99
1051,,24.99,24.99,24.99
1601,,24.99,24.99,24.99
1415,,24.99,24.99,24.99
2610,,24.99,24.99,24.99
2108,,24.99,24.99,24.99
43,,24.99,24.99,24.99
1357,,24.99,24.99,24.99
768,,24.99,24.99,24.99
2749,,24.99,24.99,24.99
2319,,24.99,24.99,24.99
509,,24.99,24.99,24.99
490,,24.99,24.99,24.99
2715,,24.99,24.99,24.99
1722,,24.99,24.99,24.99
566,,24.99,24.99,24.99
854,,24.99,24.99,24.99
2178,,24.99,24.99,24.99
2557,,24.99,24.99,24.99
707,,24.99,24.99,24.99
666,,24.99,24.99,24.99
776,,24.99,24.99,24.99
1894,,24.99,24.99,24.99
69,,24.99,24.99,24.99
182,,24.99,24.99,24.99
3156,,24.99,24.99,24.99
2050,,24.99,24.99,24.99
3063,,24.99,24.99,24.99
1873,,24.99,24.99,24.99
1186,,24.99,24.99,24.99
491,,24.99,24.99,24.99
1933,,24.99,24.99,24.99
1228,,24.99,24.99,24.99
729,,41.3,41.3,41.3
1618,,41.3,41.3,41.3
210,,41.3,41.3,41.3
530,,41.3,41.3,41.3
545,,41.3,41.3,41.3
1591,,41.3,41.3,41.3
842,,41.3,41.3,41.3
355,,41.3,41.3,41.3
903,,41.3,41.3,41.3
1337,,41.3,41.3,41.3
1476,,41.3,41.3,41.3
389,,41.3,41.3,41.3
925,,41.3,41.3,41.3
366,,41.3,41.3,41.3
3103,,41.3,41.3,41.3
931,,41.3,41.3,41.3
1808,,41.3,41.3,41.3
2201,,41.3,41.3,41.3
3067,,41.3,41.3,41.3
845,,41.3,41.3,41.3
1058,,41.3,41.3,41.3
2628,,41.3,41.3,41.3
655,,41.3,41.3,41.3
415,,41.3,41.3,41.3
886,,41.3,41.3,41.3
1438,,41.3,41.3,41.3
2792,,41.3,41.3,41.3
682,,41.3,41.3,41.3
2142,,41.3,41.3,41.3
2768,,16.99,16.99,16.99
3157,,16.99,16.99,16.99
2772,,16.99,16.99,16.99
1011,,16.99,16.99,16.99
2681,,16.99,16.99,16.99
560,,16.99,16.99,16.99
592,,16.99,16.99,16.99
1534,,16.99,16.99,16.99
511,,16.99,16.99,16.99
1897,,16.99,16.99,16.99
2525,,16.99,16.99,16.99
2296,,16.99,16.99,16.99
2911,,16.99,16.99,16.99
98,,16.99,16.99,16.99
1812,,16.99,16.99,16.99
3056,,16.99,16.99,16.99
1178,,16.99,16.99,16.99
3168,,16.99,16.99,16.99
2249,,16.99,16.99,16.99
138,,16.99,16.99,16.99
3208,,34.8,34.8,34.8
308,,34.8,34.8,34.8
2864,,34.8,34.8,34.8
2530,,34.8,34.8,34.8
1677,,34.8,34.8,34.8
2291,,34.8,34.8,34.8
582,,34.8,34.8,34.8
2671,,26.99,26.99,26.99
2693,,26.99,26.99,26.99
1563,,26.99,26.99,26.99
2854,,26.99,26.99,26.99
1732,,26.99,26.99,26.99
882,,26.99,26.99,26.99
3158,,26.99,26.99,26.99
1207,,26.99,26.99,26.99
410,,16.99,16.99,16.99
1439,,16.99,16.99,16.99
12,,16.99,16.99,16.99
3136,,16.99,16.99,16.99
1744,,16.99,16.99,16.99
2609,,16.99,16.99,16.99
2998,,16.99,16.99,16.99
1077,,16.99,16.99,16.99
2750,,16.99,16.99,16.99
1508,,16.99,16.99,16.99
915,,16.99,16.99,16.99
2478,,16.99,16.99,16.99
1244,,24.99,24.99,24.99
1244,,26.99,26.99,26.99
3057,,24.99,24.99,24.99
3057,,26.99,26.99,26.99
2441,,24.99,24.99,24.99
2441,,26.99,26.99,26.99
1390,,24.99,24.99,24.99
1390,,26.99,26.99,26.99
2928,,24.99,24.99,24.99
2928,,26.99,26.99,26.99
2659,,24.99,24.99,24.99
2659,,26.99,26.99,26.99
883,,24.99,24.99,24.99
883,,26.99,26.99,26.99
1956,,24.99,24.99,24.99
1956,,26.99,26.99,26.99
3106,,24.99,24.99,24.99
3106,,26.99,26.99,26.99
2698,,24.99,24.99,24.99
2698,,26.99,26.99,26.99
2206,,24.99,24.99,24.99
2206,,26.99,26.99,26.99
717,,24.99,24.99,24.99
717,,26.99,26.99,26.99
391,,24.99,24.99,24.99
391,,26.99,26.99,26.99
2495,,24.99,24.99,24.99
2495,,26.99,26.99,26.99
74,,24.99,24.99,24.99
74,,26.99,26.99,26.99
41,,24.99,24.99,24.99
41,,26.99,26.99,26.99
980,,24.99,24.99,24.99
980,,26.99,26.99,26.99
40,,24.99,24.99,24.99
40,,26.99,26.99,26.99
1252,,24.99,24.99,24.99
1252,,26.99,26.99,26.99
1633,,24.99,24.99,24.99
1633,,26.99,26.99,26.99
1845,,24.99,24.99,24.99
1845,,26.99,26.99,26.99
259,,24.99,24.99,24.99
259,,26.99,26.99,26.99
1579,,24.99,24.99,24.99
1579,,26.99,26.99,26.99
314,,24.99,24.99,24.99
314,,26.99,26.99,26.99
2074,,24.99,24.99,24.99
2074,,26.99,26.99,26.99
1954,,24.99,24.99,24.99
1954,,26.99,26.99,26.99
1688,,24.99,24.99,24.99
1688,,26.99,26.99,26.99
1299,,24.99,24.99,24.99
1299,,26.99,26.99,26.99
2626,,24.99,24.99,24.99
2626,,26.99,26.99,26.99
2095,,24.99,24.99,24.99
2095,,26.99,26.99,26.99
1275,,24.99,24.99,24.99
1275,,26.99,26.99,26.99
553,,24.99,24.99,24.99
553,,26.99,26.99,26.99
2701,,24.99,24.99,24.99
2701,,26.99,26.99,26.99
2222,,24.99,24.99,24.99
2222,,26.99,26.99,26.99
2325,,24.99,24.99,24.99
2325,,26.99,26.99,26.99
227,,24.99,24.99,24.99
227,,26.99,26.99,26.99
2975,,24.99,24.99,24.99
2975,,26.99,26.99,26.99
3124,,24.99,24.99,24.99
3124,,26.99,26.99,26.99
862,,24.99,24.99,24.99
862,,26.99,26.99,26.99
1304,,24.99,24.99,24.99
1304,,26.99,26.99,26.99
1026,,24.99,24.99,24.99
1026,,26.99,26.99,26.99
1616,,24.99,24.99,24.99
1616,,26.99,26.99,26.99
739,,24.99,24.99,24.99
739,,26.99,26.99,26.99
1039,,24.99,24.99,24.99
1039,,26.99,26.99,26.99
1926,,24.99,24.99,24.99
1926,,26.99,26.99,26.99
2778,,24.99,24.99,24.99
2778,,26.99,26.99,26.99
1070,,24.99,24.99,24.99
1070,,26.99,26.99,26.99
1376,,24.99,24.99,24.99
1376,,26.99,26.99,26.99
1195,,24.99,24.99,24.99
1195,,26.99,26.99,26.99
917,,24.99,24.99,24.99
917,,26.99,26.99,26.99
1040,,24.99,24.99,24.99
1040,,26.99,26.99,26.99
244,,24.99,24.99,24.99
244,,26.99,26.99,26.99
624,,24.99,24.99,24.99
624,,26.99,26.99,26.99
2234,,24.99,24.99,24.99
2234,,26.99,26.99,26.99
264,,24.99,24.99,24.99
264,,26.99,26.99,26.99
577,,24.99,24.99,24.99
577,,26.99,26.99,26.99
1307,,24.99,24.99,24.99
1307,,24.99,24.99,24.99
3020,,24.99,24.99,24.99
3020,,24.99,24.99,24.99
1074,,24.99,24.99,24.99
1074,,24.99,24.99,24.99
1881,,24.99,24.99,24.99
1881,,24.99,24.99,24.99
804,,24.99,24.99,24.99
804,,24.99,24.99,24.99
2333,,24.99,24.99,24.99
2333,,24.99,24.99,24.99
3004,,24.99,24.99,24.99
3004,,24.99,24.99,24.99
94,,24.99,24.99,24.99
94,,24.99,24.99,24.99
2983,,24.99,24.99,24.99
2983,,24.99,24.99,24.99
102,,24.99,24.99,24.99
102,,24.99,24.99,24.99
1125,,24.99,24.99,24.99
1125,,24.99,24.99,24.99
420,,24.99,24.99,24.99
420,,24.99,24.99,24.99
1645,,24.99,24.99,24.99
1645,,24.99,24.99,24.99
263,,24.99,24.99,24.99
263,,24.99,24.99,24.99
1779,,24.99,24.99,24.99
1779,,24.99,24.99,24.99
1350,,24.99,24.99,24.99
1350,,24.99,24.99,24.99
2551,,24.99,24.99,24.99
2551,,24.99,24.99,24.99
3182,,24.99,24.99,24.99
3182,,24.99,24.99,24.99
1784,,24.99,24.99,24.99
1784,,24.99,24.99,24.99
2716,,24.99,24.99,24.99
2716,,24.99,24.99,24.99
9,,24.99,24.99,24.99
9,,24.99,24.99,24.99
1866,,24.99,24.99,24.99
1866,,24.99,24.99,24.99
1388,,24.99,24.99,24.99
1388,,24.99,24.99,24.99
3123,,24.99,24.99,24.99
3123,,24.99,24.99,24.99
820,,24.99,24.99,24.99
820,,24.99,24.99,24.99
1970,,24.99,24.99,24.99
1970,,24.99,24.99,24.99
2865,,24.99,24.99,24.99
2865,,24.99,24.99,24.99
2347,,24.99,24.99,24.99
2347,,24.99,24.99,24.99
737,,24.99,24.99,24.99
737,,24.99,24.99,24.99
2070,,24.99,24.99,24.99
2070,,24.99,24.99,24.99
1093,,24.99,24.99,24.99
1093,,24.99,24.99,24.99
2945,,24.99,24.99,24.99
2945,,24.99,24.99,24.99
2550,,24.99,24.99,24.99
2550,,24.99,24.99,24.99
1045,,24.99,24.99,24.99
1045,,24.99,24.99,24.99
1489,,24.99,24.99,24.99
1489,,24.99,24.99,24.99
