ProductRefId,Name,Description,Value,Position,IsFilter,IsRequired,IsOnProductDetails,IsStockKeepingUnit,IsWizard,IsActive,IsTopMenuLinkActive,DefaultValue
P000206889,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000207279,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000207797,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000207904,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000208029,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000208164,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000208416,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000208500,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000208502,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000208504,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000208505,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000208645,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000209009,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000209011,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000209013,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000209014,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000209016,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000209017,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000209019,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000209025,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000209030,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000209035,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000209036,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000210448,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000210513,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000210538,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000210540,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000210547,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000210548,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000210550,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000210563,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000210585,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000210586,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000210587,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000210588,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000210800,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000210807,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000210809,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000210810,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000211585,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000211874,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000212437,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000212492,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000212690,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000212884,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000212895,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000212912,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000212994,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000213062,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000213098,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000213100,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000213102,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000213343,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000213388,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000213389,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000213391,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000213447,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000213499,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000213687,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000213692,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000213706,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000213849,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000213853,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000213889,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000214022,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000214171,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000214471,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000214496,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000214540,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000214773,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000214807,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000214876,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000214877,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000214878,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000214879,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000214880,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000214881,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000214882,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000215074,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000215077,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000215080,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000215126,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000215172,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000215177,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,false,false,false,false,false,true,false,
P000215197,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
